Name,Label,Canton_name
Ballwil,3,Emmen
Balm bei Günsberg,6,Solothurn
Balsthal,6,Solothurn
Baltschieder,7,Brig-Glis
Bangerten,5,Bern
Bannwil,6,Solothurn
Barberêche,17,Fribourg
Bardonnex,8,Genève
Bargen (BE),5,Bern
Bargen (SH),19,Schaffhausen
Bas-Intyamon,17,Fribourg
Bas-Vully,5,Bern
Basadingen-Schlattingen,19,Schaffhausen
Basel,16,Basel
Basse-Allaine,14,Porrentruy
Bassersdorf,9,Winterthur
Bassins,20,Lausanne
Bauen,11,Chur
Baulmes,20,Lausanne
Bauma,9,Winterthur
Bavois,20,Lausanne
Beatenberg,5,Bern
Beckenried,4,Zürich
Bedano,25,Lugano
Bedigliora,25,Lugano
Bedretto,25,Lugano
Beggingen,19,Schaffhausen
Begnins,20,Lausanne
Beinwil (Freiamt),3,Emmen
Beinwil (SO),6,Solothurn
Beinwil am See,21,Aarau
Belfaux,17,Fribourg
Bellach,5,Bern
Bellevue,8,Genève
Bellikon,21,Aarau
Bellinzona,25,Lugano
Bellmund,5,Bern
Bellwald,7,Brig-Glis
Belmont-sur-Lausanne,20,Lausanne
Belmont-sur-Yverdon,20,Lausanne
Belp,5,Bern
Belprahon,6,Solothurn
Benken (SG),9,Winterthur
Benken (ZH),19,Schaffhausen
Bennwil,6,Solothurn
Bercher,20,Lausanne
Berg (SG),15,St. Gallen
Berg (TG),19,Schaffhausen
Berg am Irchel,9,Winterthur
Bergdietikon,21,Aarau
Bergün/Bravuogn,11,Chur
Berikon,21,Aarau
Beringen,18,Beringen
Berken,6,Solothurn
Berlingen,19,Schaffhausen
Bern,5,Bern
Berneck,15,St. Gallen
Bernex,8,Genève
Berolle,20,Lausanne
Beromünster,3,Emmen
Besenbüren,21,Aarau
Bettenhausen,6,Solothurn
Bettens,20,Lausanne
Bettingen,16,Basel
Bettlach,5,Bern
Bettmeralp,7,Brig-Glis
Bettwiesen,9,Winterthur
Bettwil,21,Aarau
Beurnevésin,14,Porrentruy
Bevaix,23,Neuchâtel
Bever,11,Chur
Bex,7,Brig-Glis
Biasca,25,Lugano
Biberist,6,Solothurn
Biberstein,21,Aarau
Bichelsee-Balterswil,9,Winterthur
Biel-Benken,2,Reinach (BL)
Biel/Bienne,5,Bern
Biezwil,5,Bern
Biglen,5,Bern
Billens-Hennens,20,Lausanne
Binn,7,Brig-Glis
Binningen,2,Reinach (BL)
Bioggio,25,Lugano
Bioley-Magnoux,20,Lausanne
Bioley-Orjulaz,20,Lausanne
Birmensdorf (ZH),21,Aarau
Birmenstorf (AG),21,Aarau
Birr,21,Aarau
Birrhard,21,Aarau
Birrwil,21,Aarau
Birsfelden,16,Basel
Birwinken,15,St. Gallen
Bischofszell,19,Schaffhausen
Bissone,25,Lugano
Bister,7,Brig-Glis
